M100x100 | P = 1250 | Qtd processos = 8 | Tempo = 775 
M100x100 | P = 1250 | Qtd processos = 8 | Tempo = 680 
M100x100 | P = 1250 | Qtd processos = 8 | Tempo = 769 
M100x100 | P = 1250 | Qtd processos = 8 | Tempo = 1090 
M100x100 | P = 1250 | Qtd processos = 8 | Tempo = 692 
M100x100 | P = 1250 | Qtd processos = 8 | Tempo = 701 
M100x100 | P = 1250 | Qtd processos = 8 | Tempo = 681 
M100x100 | P = 1250 | Qtd processos = 8 | Tempo = 680 
M100x100 | P = 1250 | Qtd processos = 8 | Tempo = 929 
M100x100 | P = 1250 | Qtd processos = 8 | Tempo = 683 
M200x200 | P = 5000 | Qtd processos = 8 | Tempo = 6722 
M200x200 | P = 5000 | Qtd processos = 8 | Tempo = 7731 
M200x200 | P = 5000 | Qtd processos = 8 | Tempo = 7566 
M200x200 | P = 5000 | Qtd processos = 8 | Tempo = 9924 
M200x200 | P = 5000 | Qtd processos = 8 | Tempo = 5965 
M200x200 | P = 5000 | Qtd processos = 8 | Tempo = 7598 
M200x200 | P = 5000 | Qtd processos = 8 | Tempo = 8073 
M200x200 | P = 5000 | Qtd processos = 8 | Tempo = 8408 
M200x200 | P = 5000 | Qtd processos = 8 | Tempo = 7893 
M200x200 | P = 5000 | Qtd processos = 8 | Tempo = 8780 
M400x400 | P = 20000 | Qtd processos = 8 | Tempo = 71430 
M400x400 | P = 20000 | Qtd processos = 8 | Tempo = 75404 
M400x400 | P = 20000 | Qtd processos = 8 | Tempo = 80457 
M400x400 | P = 20000 | Qtd processos = 8 | Tempo = 74575 
M400x400 | P = 20000 | Qtd processos = 8 | Tempo = 79737 
M400x400 | P = 20000 | Qtd processos = 8 | Tempo = 74915 
M400x400 | P = 20000 | Qtd processos = 8 | Tempo = 82403 
M400x400 | P = 20000 | Qtd processos = 8 | Tempo = 101645 
M400x400 | P = 20000 | Qtd processos = 8 | Tempo = 77786 
M400x400 | P = 20000 | Qtd processos = 8 | Tempo = 80552 
M800x800 | P = 80000 | Qtd processos = 8 | Tempo = 542338 
M800x800 | P = 80000 | Qtd processos = 8 | Tempo = 552047 
M800x800 | P = 80000 | Qtd processos = 8 | Tempo = 721534 
M800x800 | P = 80000 | Qtd processos = 8 | Tempo = 518982 
M800x800 | P = 80000 | Qtd processos = 8 | Tempo = 682609 
M800x800 | P = 80000 | Qtd processos = 8 | Tempo = 562191 
M800x800 | P = 80000 | Qtd processos = 8 | Tempo = 539776 
M800x800 | P = 80000 | Qtd processos = 8 | Tempo = 588394 
M800x800 | P = 80000 | Qtd processos = 8 | Tempo = 542057 
M800x800 | P = 80000 | Qtd processos = 8 | Tempo = 552816 
M1600x1600 | P = 320000 | Qtd processos = 8 | Tempo = 7248133 
M1600x1600 | P = 320000 | Qtd processos = 8 | Tempo = 5900541 
M1600x1600 | P = 320000 | Qtd processos = 8 | Tempo = 6148882 
M1600x1600 | P = 320000 | Qtd processos = 8 | Tempo = 6325962 
M1600x1600 | P = 320000 | Qtd processos = 8 | Tempo = 6004220 
M1600x1600 | P = 320000 | Qtd processos = 8 | Tempo = 6257156 
M1600x1600 | P = 320000 | Qtd processos = 8 | Tempo = 6779171 
M1600x1600 | P = 320000 | Qtd processos = 8 | Tempo = 6710210 
M1600x1600 | P = 320000 | Qtd processos = 8 | Tempo = 6419870 
M1600x1600 | P = 320000 | Qtd processos = 8 | Tempo = 6314694 
M2200x2200 | P = 605000 | Qtd processos = 8 | Tempo = 17662100 
M2200x2200 | P = 605000 | Qtd processos = 8 | Tempo = 15964621 
M2200x2200 | P = 605000 | Qtd processos = 8 | Tempo = 16935561 
M2200x2200 | P = 605000 | Qtd processos = 8 | Tempo = 16584082 
M2200x2200 | P = 605000 | Qtd processos = 8 | Tempo = 15955667 
M2200x2200 | P = 605000 | Qtd processos = 8 | Tempo = 16161126 
M2200x2200 | P = 605000 | Qtd processos = 8 | Tempo = 15940018 
M2200x2200 | P = 605000 | Qtd processos = 8 | Tempo = 16384457 
M2200x2200 | P = 605000 | Qtd processos = 8 | Tempo = 15694764 
M2200x2200 | P = 605000 | Qtd processos = 8 | Tempo = 16072756 
                                                      
